acc                                                                ,batch_size ,checkpoints_path   ,communicators         ,d_model ,label_smoothing ,lr     ,model_name ,n_heads ,n_heads_communicators ,n_layers ,n_params/M ,n_total_epochs ,n_warmup_epochs ,patch_size ,pretrained_model_path ,results_path ,save_delta_all ,save_delta_revert ,seed ,use_scheduler ,weight_decay
0.6686115506329114                                                 ,       128 ,model_checkpoints/ ,normal                ,    192 ,            0.1 ,0.0001 ,huge       ,     12 ,4                     ,      12 , 37.892    ,            50 ,              4 ,         4 ,None                  ,results.txt  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.6430                                                             ,       128 ,model_checkpoints/ ,dense                 ,    192 ,            0.1 ,0.0001 ,huge       ,     12 ,4                     ,      12 ,58.345     ,            50 ,              4 ,         4 ,None                  ,results.txt  ,         15000 ,            30000 ,  42 ,True          ,5e-05

second iter:
0.33672863924050633                                                ,       128 ,model_checkpoints/ ,dense                 ,     16 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.037578 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.4540150316455696                                                 ,       128 ,model_checkpoints/ ,dense                 ,     32 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.14273  ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5279865506329114                                                 ,       128 ,model_checkpoints/ ,dense                 ,     64 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  0.555786 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5695213607594937                                                 ,       128 ,model_checkpoints/ ,dense                 ,     96 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  1.239178 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5921677215189873                                                 ,       128 ,model_checkpoints/ ,dense                 ,    128 ,            0.1 ,0.0001 ,custom     ,      8 ,4                     ,       8 ,  2.192906 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
0.5756526898734177                                                 ,       128 ,model_checkpoints/ ,normal                ,    128 ,            0.1 ,0.0001 ,small      ,      8 ,4                     ,       8 ,  1.602058 ,            50 ,              4 ,         4 ,None                  ,results.csv  ,         15000 ,            30000 ,  42 ,True          ,5e-05
